date,weight,extra1,extra2,extra3,extra4
2021-01-16 13:00:00+00:00,2.890,X,X,X,X
2021-01-17 13:00:00+00:00,2.730,X,X,X,X
2021-01-18 13:00:00+00:00,2.780,X,X,X,X
2021-01-20 13:00:00+00:00,2.820,X,X,X,X
2021-01-21 13:00:00+00:00,2.840,X,X,X,X
2021-01-22 13:00:00+00:00,2.850,X,X,X,X
2021-01-23 13:00:00+00:00,2.870,X,X,X,X
2021-01-25 13:00:00+00:00,2.900,X,X,X,X
2021-01-27 13:00:00+00:00,2.930,X,X,X,X
2021-01-28 13:00:00+00:00,2.960,X,X,X,X
2021-01-29 13:00:00+00:00,2.960,X,X,X,X
2021-01-30 18:00:00+00:00,3.060,c0,b_orsetto,X,X
2021-01-31 10:57:00+00:00,3.25,c0,b_stella,p_gatto,X
2021-01-31 11:23:00+00:00,3.30,c0,b_stella,p_gatto,X
2021-01-31 11:54:00+00:00,3.21,c0,b_stella,X,X
2021-01-31 13:45:00+00:00,3.16,c0,b_stella,g_cuori,X
2021-01-31 17:00:00+00:00,3.16,c0,b_stella,g_cuori,X
2021-01-31 18:05:00+00:00,3.265,c0,b_stella,g_cuori,X
2021-02-01 10:05:00+00:00,3.17,c0,b_orsetto,X,X
2021-02-02 08:53:00+00:00,3.22,c0,b_orsetto,X,X
2021-02-02 13:10:00+00:00,3.22,c0,b_stella,m_rosa,X
2021-02-02 14:31:00+00:00,3.30,c0,b_stella,m_rosa,g_strisce
2021-02-03 09:50:00+00:00,3.33,c0,b_stella,p_rosa,X
2021-02-03 10:20:00+00:00,3.37,c0,b_orsetto,p_rosa,X
2021-02-03 11:40:00+00:00,3.42,c0,b_orsetto,p_rosa,X
2021-02-03 19:00:00+00:00,3.25,c1,b_colletto,g_rosa,X
2021-02-03 20:04:00+00:00,3.37,c1,b_colletto,g_rosa,X
2021-02-04 09:10:00+00:00,3.25,c1,b_stella,X,X
2021-02-04 10:10:00+00:00,3.32,c1,b_stella,X,X
2021-02-05 09:50:00+00:00,3.42,c1,b_stella,p_rosa,X
2021-02-05 12:00:00+00:00,3.35,c1,b_stella,p_rosa,X
2021-02-05 20:38:00+00:00,3.37,c1,b_stella,p_rosa,X
2021-02-06 12:00:00+00:00,3.42,c1,b_stella,m_rosa,g_rosa
2021-02-06 19:00:00+00:00,3.34,c1,b_orsetto,X,X
2021-02-07 09:00:00+00:00,3.48,c1,b_orsetto,p_snoopy,X
2021-02-07 12:00:00+00:00,3.43,c1,b_orsetto,p_snoopy,X
2021-02-07 08:30:00+00:00,3.45,c1,b_orsetto,X,X
2021-02-07 09:45:00+00:00,3.46,c1,b_orsetto,g_cuori,X
